Ward_No,WardName,zone_name,year,month,max_rainfall_3day_mm,avg_monsoon_rainfall_mm,drain_density_km_per_km2,depression_area_fraction,mean_slope_percent,impervious_surface_fraction,drain_condition_score,drain_capacity_proxy,mean_elevation_m,area_km2,yamuna_backflow_risk,water_body_fraction
70,SHASTRI NAGAR,City S.P.Zone,2026,3,20.4,0.0,2.11,0.12,1.83,0.74,5,144.1,208.3,6.04,0.0,0.06
70,SHASTRI NAGAR,City S.P.Zone,2026,4,15.4,0.0,2.11,0.12,1.83,0.74,5,144.1,208.3,6.04,0.0,0.06
70,SHASTRI NAGAR,City S.P.Zone,2026,5,21.0,0.0,2.11,0.12,1.83,0.74,5,144.1,208.3,6.04,0.0,0.06
70,SHASTRI NAGAR,City S.P.Zone,2026,6,7.5,0.0,2.11,0.12,1.83,0.74,5,144.1,208.3,6.04,0.0,0.06
70,SHASTRI NAGAR,City S.P.Zone,2026,7,185.8,154.6,2.11,0.12,1.83,0.74,5,144.1,208.3,6.04,0.0,0.06
70,SHASTRI NAGAR,City S.P.Zone,2026,8,91.4,154.6,2.11,0.12,1.83,0.74,5,144.1,208.3,6.04,0.0,0.06
70,SHASTRI NAGAR,City S.P.Zone,2026,9,173.3,154.6,2.11,0.12,1.83,0.74,5,144.1,208.3,6.04,0.0,0.06
70,SHASTRI NAGAR,City S.P.Zone,2026,10,61.6,154.6,2.11,0.12,1.83,0.74,5,144.1,208.3,6.04,0.0,0.06
70,SHASTRI NAGAR,City S.P.Zone,2026,11,38.4,0.0,2.11,0.12,1.83,0.74,5,144.1,208.3,6.04,0.0,0.06
70,SHASTRI NAGAR,City S.P.Zone,2026,12,11.8,0.0,2.11,0.12,1.83,0.74,5,144.1,208.3,6.04,0.0,0.06
71,KISHAN GANJ,City S.P.Zone,2026,1,28.7,0.0,3.13,0.146,1.06,0.79,1,19.8,196.0,2.92,0.0,0.01
71,KISHAN GANJ,City S.P.Zone,2026,2,6.5,0.0,3.13,0.146,1.06,0.79,1,19.8,196.0,2.92,0.0,0.01
71,KISHAN GANJ,City S.P.Zone,2026,3,24.8,0.0,3.13,0.146,1.06,0.79,1,19.8,196.0,2.92,0.0,0.01
71,KISHAN GANJ,City S.P.Zone,2026,4,18.9,0.0,3.13,0.146,1.06,0.79,1,19.8,196.0,2.92,0.0,0.01
71,KISHAN GANJ,City S.P.Zone,2026,5,32.0,0.0,3.13,0.146,1.06,0.79,1,19.8,196.0,2.92,0.0,0.01
71,KISHAN GANJ,City S.P.Zone,2026,6,6.3,0.0,3.13,0.146,1.06,0.79,1,19.8,196.0,2.92,0.0,0.01
71,KISHAN GANJ,City S.P.Zone,2026,7,118.3,231.5,3.13,0.146,1.06,0.79,1,19.8,196.0,2.92,0.0,0.01
71,KISHAN GANJ,City S.P.Zone,2026,8,185.8,231.5,3.13,0.146,1.06,0.79,1,19.8,196.0,2.92,0.0,0.01
71,KISHAN GANJ,City S.P.Zone,2026,9,138.9,231.5,3.13,0.146,1.06,0.79,1,19.8,196.0,2.92,0.0,0.01
71,KISHAN GANJ,City S.P.Zone,2026,10,143.5,231.5,3.13,0.146,1.06,0.79,1,19.8,196.0,2.92,0.0,0.01
71,KISHAN GANJ,City S.P.Zone,2026,11,8.4,0.0,3.13,0.146,1.06,0.79,1,19.8,196.0,2.92,0.0,0.01
71,KISHAN GANJ,City S.P.Zone,2026,12,9.6,0.0,3.13,0.146,1.06,0.79,1,19.8,196.0,2.92,0.0,0.01
72,SADAR BAZAR,City S.P.Zone,2026,1,25.6,0.0,2.38,0.147,1.48,0.71,5,71.9,215.2,9.68,0.0,0.115
72,SADAR BAZAR,City S.P.Zone,2026,2,13.9,0.0,2.38,0.147,1.48,0.71,5,71.9,215.2,9.68,0.0,0.115
72,SADAR BAZAR,City S.P.Zone,2026,3,33.0,0.0,2.38,0.147,1.48,0.71,5,71.9,215.2,9.68,0.0,0.115
72,SADAR BAZAR,City S.P.Zone,2026,4,7.5,0.0,2.38,0.147,1.48,0.71,5,71.9,215.2,9.68,0.0,0.115
72,SADAR BAZAR,City S.P.Zone,2026,5,29.1,0.0,2.38,0.147,1.48,0.71,5,71.9,215.2,9.68,0.0,0.115
72,SADAR BAZAR,City S.P.Zone,2026,6,11.1,0.0,2.38,0.147,1.48,0.71,5,71.9,215.2,9.68,0.0,0.115
72,SADAR BAZAR,City S.P.Zone,2026,7,151.4,200.0,2.38,0.147,1.48,0.71,5,71.9,215.2,9.68,0.0,0.115
72,SADAR BAZAR,City S.P.Zone,2026,8,192.1,200.0,2.38,0.147,1.48,0.71,5,71.9,215.2,9.68,0.0,0.115
72,SADAR BAZAR,City S.P.Zone,2026,9,178.4,200.0,2.38,0.147,1.48,0.71,5,71.9,215.2,9.68,0.0,0.115
72,SADAR BAZAR,City S.P.Zone,2026,10,178.0,200.0,2.38,0.147,1.48,0.71,5,71.9,215.2,9.68,0.0,0.115
72,SADAR BAZAR,City S.P.Zone,2026,11,23.1,0.0,2.38,0.147,1.48,0.71,5,71.9,215.2,9.68,0.0,0.115
72,SADAR BAZAR,City S.P.Zone,2026,12,36.2,0.0,2.38,0.147,1.48,0.71,5,71.9,215.2,9.68,0.0,0.115
73,CIVIL LINES,City S.P.Zone,2026,1,17.9,0.0,1.51,0.091,1.11,0.85,3,65.7,223.9,26.49,0.2,0.054
73,CIVIL LINES,City S.P.Zone,2026,2,38.0,0.0,1.51,0.091,1.11,0.85,3,65.7,223.9,26.49,0.2,0.054
73,CIVIL LINES,City S.P.Zone,2026,3,12.6,0.0,1.51,0.091,1.11,0.85,3,65.7,223.9,26.49,0.2,0.054
73,CIVIL LINES,City S.P.Zone,2026,4,32.0,0.0,1.51,0.091,1.11,0.85,3,65.7,223.9,26.49,0.2,0.054
73,CIVIL LINES,City S.P.Zone,2026,5,5.7,0.0,1.51,0.091,1.11,0.85,3,65.7,223.9,26.49,0.2,0.054
73,CIVIL LINES,City S.P.Zone,2026,6,28.5,0.0,1.51,0.091,1.11,0.85,3,65.7,223.9,26.49,0.2,0.054
73,CIVIL LINES,City S.P.Zone,2026,7,129.8,227.4,1.51,0.091,1.11,0.85,3,65.7,223.9,26.49,0.2,0.054
73,CIVIL LINES,City S.P.Zone,2026,8,108.9,227.4,1.51,0.091,1.11,0.85,3,65.7,223.9,26.49,0.2,0.054
73,CIVIL LINES,City S.P.Zone,2026,9,196.6,227.4,1.51,0.091,1.11,0.85,3,65.7,223.9,26.49,0.2,0.054
73,CIVIL LINES,City S.P.Zone,2026,10,195.2,227.4,1.51,0.091,1.11,0.85,3,65.7,223.9,26.49,0.2,0.054
73,CIVIL LINES,City S.P.Zone,2026,11,5.8,0.0,1.51,0.091,1.11,0.85,3,65.7,223.9,26.49,0.2,0.054
73,CIVIL LINES,City S.P.Zone,2026,12,26.3,0.0,1.51,0.091,1.11,0.85,3,65.7,223.9,26.49,0.2,0.054
74,CHANDNI CHOWK,City S.P.Zone,2026,1,14.9,0.0,3.82,0.128,0.76,0.55,5,104.5,238.2,3.55,0.0,0.135
74,CHANDNI CHOWK,City S.P.Zone,2026,2,34.9,0.0,3.82,0.128,0.76,0.55,5,104.5,238.2,3.55,0.0,0.135
74,CHANDNI CHOWK,City S.P.Zone,2026,3,13.9,0.0,3.82,0.128,0.76,0.55,5,104.5,238.2,3.55,0.0,0.135
74,CHANDNI CHOWK,City S.P.Zone,2026,4,15.7,0.0,3.82,0.128,0.76,0.55,5,104.5,238.2,3.55,0.0,0.135
74,CHANDNI CHOWK,City S.P.Zone,2026,5,34.2,0.0,3.82,0.128,0.76,0.55,5,104.5,238.2,3.55,0.0,0.135
74,CHANDNI CHOWK,City S.P.Zone,2026,6,15.8,0.0,3.82,0.128,0.76,0.55,5,104.5,238.2,3.55,0.0,0.135
74,CHANDNI CHOWK,City S.P.Zone,2026,7,119.7,151.4,3.82,0.128,0.76,0.55,5,104.5,238.2,3.55,0.0,0.135
74,CHANDNI CHOWK,City S.P.Zone,2026,8,109.1,151.4,3.82,0.128,0.76,0.55,5,104.5,238.2,3.55,0.0,0.135
74,CHANDNI CHOWK,City S.P.Zone,2026,9,69.8,151.4,3.82,0.128,0.76,0.55,5,104.5,238.2,3.55,0.0,0.135
74,CHANDNI CHOWK,City S.P.Zone,2026,10,56.6,151.4,3.82,0.128,0.76,0.55,5,104.5,238.2,3.55,0.0,0.135
74,CHANDNI CHOWK,City S.P.Zone,2026,11,30.4,0.0,3.82,0.128,0.76,0.55,5,104.5,238.2,3.55,0.0,0.135
74,CHANDNI CHOWK,City S.P.Zone,2026,12,27.6,0.0,3.82,0.128,0.76,0.55,5,104.5,238.2,3.55,0.0,0.135
75,JAMA MASJID,City S.P.Zone,2026,1,35.4,0.0,2.31,0.143,1.98,0.48,5,111.7,237.8,28.43,0.5,0.09
75,JAMA MASJID,City S.P.Zone,2026,2,5.6,0.0,2.31,0.143,1.98,0.48,5,111.7,237.8,28.43,0.5,0.09
75,JAMA MASJID,City S.P.Zone,2026,3,35.2,0.0,2.31,0.143,1.98,0.48,5,111.7,237.8,28.43,0.5,0.09
75,JAMA MASJID,City S.P.Zone,2026,4,11.1,0.0,2.31,0.143,1.98,0.48,5,111.7,237.8,28.43,0.5,0.09
75,JAMA MASJID,City S.P.Zone,2026,5,26.8,0.0,2.31,0.143,1.98,0.48,5,111.7,237.8,28.43,0.5,0.09
75,JAMA MASJID,City S.P.Zone,2026,6,5.9,0.0,2.31,0.143,1.98,0.48,5,111.7,237.8,28.43,0.5,0.09
75,JAMA MASJID,City S.P.Zone,2026,7,117.9,178.0,2.31,0.143,1.98,0.48,5,111.7,237.8,28.43,0.5,0.09
75,JAMA MASJID,City S.P.Zone,2026,8,217.6,178.0,2.31,0.143,1.98,0.48,5,111.7,237.8,28.43,0.5,0.09
75,JAMA MASJID,City S.P.Zone,2026,9,67.1,178.0,2.31,0.143,1.98,0.48,5,111.7,237.8,28.43,0.5,0.09
75,JAMA MASJID,City S.P.Zone,2026,10,122.0,178.0,2.31,0.143,1.98,0.48,5,111.7,237.8,28.43,0.5,0.09
75,JAMA MASJID,City S.P.Zone,2026,11,15.8,0.0,2.31,0.143,1.98,0.48,5,111.7,237.8,28.43,0.5,0.09
75,JAMA MASJID,City S.P.Zone,2026,12,36.7,0.0,2.31,0.143,1.98,0.48,5,111.7,237.8,28.43,0.5,0.09
76,CHANDANI MAHAL,City S.P.Zone,2026,1,34.1,0.0,1.88,0.031,1.33,0.44,2,53.7,225.8,8.98,0.2,0.127
76,CHANDANI MAHAL,City S.P.Zone,2026,2,9.5,0.0,1.88,0.031,1.33,0.44,2,53.7,225.8,8.98,0.2,0.127
76,CHANDANI MAHAL,City S.P.Zone,2026,3,16.1,0.0,1.88,0.031,1.33,0.44,2,53.7,225.8,8.98,0.2,0.127
76,CHANDANI MAHAL,City S.P.Zone,2026,4,6.9,0.0,1.88,0.031,1.33,0.44,2,53.7,225.8,8.98,0.2,0.127
76,CHANDANI MAHAL,City S.P.Zone,2026,5,29.6,0.0,1.88,0.031,1.33,0.44,2,53.7,225.8,8.98,0.2,0.127
76,CHANDANI MAHAL,City S.P.Zone,2026,6,36.2,0.0,1.88,0.031,1.33,0.44,2,53.7,225.8,8.98,0.2,0.127
76,CHANDANI MAHAL,City S.P.Zone,2026,7,158.1,249.2,1.88,0.031,1.33,0.44,2,53.7,225.8,8.98,0.2,0.127
76,CHANDANI MAHAL,City S.P.Zone,2026,8,209.4,249.2,1.88,0.031,1.33,0.44,2,53.7,225.8,8.98,0.2,0.127
76,CHANDANI MAHAL,City S.P.Zone,2026,9,71.8,249.2,1.88,0.031,1.33,0.44,2,53.7,225.8,8.98,0.2,0.127
76,CHANDANI MAHAL,City S.P.Zone,2026,10,64.9,249.2,1.88,0.031,1.33,0.44,2,53.7,225.8,8.98,0.2,0.127
76,CHANDANI MAHAL,City S.P.Zone,2026,11,34.3,0.0,1.88,0.031,1.33,0.44,2,53.7,225.8,8.98,0.2,0.127
76,CHANDANI MAHAL,City S.P.Zone,2026,12,34.9,0.0,1.88,0.031,1.33,0.44,2,53.7,225.8,8.98,0.2,0.127
77,DELHI GATE,City S.P.Zone,2026,1,28.2,0.0,3.77,0.067,0.59,0.78,2,90.5,208.2,24.85,0.0,0.119
77,DELHI GATE,City S.P.Zone,2026,2,37.8,0.0,3.77,0.067,0.59,0.78,2,90.5,208.2,24.85,0.0,0.119
77,DELHI GATE,City S.P.Zone,2026,3,35.4,0.0,3.77,0.067,0.59,0.78,2,90.5,208.2,24.85,0.0,0.119
77,DELHI GATE,City S.P.Zone,2026,4,16.6,0.0,3.77,0.067,0.59,0.78,2,90.5,208.2,24.85,0.0,0.119
77,DELHI GATE,City S.P.Zone,2026,5,8.0,0.0,3.77,0.067,0.59,0.78,2,90.5,208.2,24.85,0.0,0.119
77,DELHI GATE,City S.P.Zone,2026,6,38.0,0.0,3.77,0.067,0.59,0.78,2,90.5,208.2,24.85,0.0,0.119
77,DELHI GATE,City S.P.Zone,2026,7,137.9,201.6,3.77,0.067,0.59,0.78,2,90.5,208.2,24.85,0.0,0.119
77,DELHI GATE,City S.P.Zone,2026,8,62.6,201.6,3.77,0.067,0.59,0.78,2,90.5,208.2,24.85,0.0,0.119
77,DELHI GATE,City S.P.Zone,2026,9,188.8,201.6,3.77,0.067,0.59,0.78,2,90.5,208.2,24.85,0.0,0.119
77,DELHI GATE,City S.P.Zone,2026,10,197.6,201.6,3.77,0.067,0.59,0.78,2,90.5,208.2,24.85,0.0,0.119
77,DELHI GATE,City S.P.Zone,2026,11,27.4,0.0,3.77,0.067,0.59,0.78,2,90.5,208.2,24.85,0.0,0.119
77,DELHI GATE,City S.P.Zone,2026,12,20.7,0.0,3.77,0.067,0.59,0.78,2,90.5,208.2,24.85,0.0,0.119
78,BAZAR SITA RAM,City S.P.Zone,2026,1,34.5,0.0,2.45,0.136,1.92,0.72,2,36.2,205.0,29.62,0.0,0.019
78,BAZAR SITA RAM,City S.P.Zone,2026,2,20.0,0.0,2.45,0.136,1.92,0.72,2,36.2,205.0,29.62,0.0,0.019
78,BAZAR SITA RAM,City S.P.Zone,2026,3,5.4,0.0,2.45,0.136,1.92,0.72,2,36.2,205.0,29.62,0.0,0.019
78,BAZAR SITA RAM,City S.P.Zone,2026,4,37.4,0.0,2.45,0.136,1.92,0.72,2,36.2,205.0,29.62,0.0,0.019
78,BAZAR SITA RAM,City S.P.Zone,2026,5,26.1,0.0,2.45,0.136,1.92,0.72,2,36.2,205.0,29.62,0.0,0.019
78,BAZAR SITA RAM,City S.P.Zone,2026,6,12.1,0.0,2.45,0.136,1.92,0.72,2,36.2,205.0,29.62,0.0,0.019
78,BAZAR SITA RAM,City S.P.Zone,2026,7,206.3,186.9,2.45,0.136,1.92,0.72,2,36.2,205.0,29.62,0.0,0.019
78,BAZAR SITA RAM,City S.P.Zone,2026,8,205.5,186.9,2.45,0.136,1.92,0.72,2,36.2,205.0,29.62,0.0,0.019
78,BAZAR SITA RAM,City S.P.Zone,2026,9,218.2,186.9,2.45,0.136,1.92,0.72,2,36.2,205.0,29.62,0.0,0.019
78,BAZAR SITA RAM,City S.P.Zone,2026,10,198.6,186.9,2.45,0.136,1.92,0.72,2,36.2,205.0,29.62,0.0,0.019
78,BAZAR SITA RAM,City S.P.Zone,2026,11,39.9,0.0,2.45,0.136,1.92,0.72,2,36.2,205.0,29.62,0.0,0.019
78,BAZAR SITA RAM,City S.P.Zone,2026,12,13.6,0.0,2.45,0.136,1.92,0.72,2,36.2,205.0,29.62,0.0,0.019
79,BALLIMARAN,City S.P.Zone,2026,1,10.2,0.0,3.93,0.05,0.38,0.79,5,269.7,195.2,2.1,0.0,0.036
79,BALLIMARAN,City S.P.Zone,2026,2,32.8,0.0,3.93,0.05,0.38,0.79,5,269.7,195.2,2.1,0.0,0.036
79,BALLIMARAN,City S.P.Zone,2026,3,25.3,0.0,3.93,0.05,0.38,0.79,5,269.7,195.2,2.1,0.0,0.036
79,BALLIMARAN,City S.P.Zone,2026,4,27.6,0.0,3.93,0.05,0.38,0.79,5,269.7,195.2,2.1,0.0,0.036
79,BALLIMARAN,City S.P.Zone,2026,5,37.6,0.0,3.93,0.05,0.38,0.79,5,269.7,195.2,2.1,0.0,0.036
79,BALLIMARAN,City S.P.Zone,2026,6,20.0,0.0,3.93,0.05,0.38,0.79,5,269.7,195.2,2.1,0.0,0.036
79,BALLIMARAN,City S.P.Zone,2026,7,106.3,253.3,3.93,0.05,0.38,0.79,5,269.7,195.2,2.1,0.0,0.036
79,BALLIMARAN,City S.P.Zone,2026,8,216.1,253.3,3.93,0.05,0.38,0.79,5,269.7,195.2,2.1,0.0,0.036
79,BALLIMARAN,City S.P.Zone,2026,9,196.8,253.3,3.93,0.05,0.38,0.79,5,269.7,195.2,2.1,0.0,0.036
79,BALLIMARAN,City S.P.Zone,2026,10,104.9,253.3,3.93,0.05,0.38,0.79,5,269.7,195.2,2.1,0.0,0.036
79,BALLIMARAN,City S.P.Zone,2026,11,21.2,0.0,3.93,0.05,0.38,0.79,5,269.7,195.2,2.1,0.0,0.036
79,BALLIMARAN,City S.P.Zone,2026,12,19.5,0.0,3.93,0.05,0.38,0.79,5,269.7,195.2,2.1,0.0,0.036
80,RAM NAGAR,City S.P.Zone,2026,1,18.3,0.0,1.41,0.073,1.78,0.87,2,26.5,225.2,2.42,0.0,0.083
80,RAM NAGAR,City S.P.Zone,2026,2,35.2,0.0,1.41,0.073,1.78,0.87,2,26.5,225.2,2.42,0.0,0.083
80,RAM NAGAR,City S.P.Zone,2026,3,22.2,0.0,1.41,0.073,1.78,0.87,2,26.5,225.2,2.42,0.0,0.083
80,RAM NAGAR,City S.P.Zone,2026,4,9.5,0.0,1.41,0.073,1.78,0.87,2,26.5,225.2,2.42,0.0,0.083
80,RAM NAGAR,City S.P.Zone,2026,5,5.2,0.0,1.41,0.073,1.78,0.87,2,26.5,225.2,2.42,0.0,0.083
80,RAM NAGAR,City S.P.Zone,2026,6,28.7,0.0,1.41,0.073,1.78,0.87,2,26.5,225.2,2.42,0.0,0.083
80,RAM NAGAR,City S.P.Zone,2026,7,143.5,193.0,1.41,0.073,1.78,0.87,2,26.5,225.2,2.42,0.0,0.083
80,RAM NAGAR,City S.P.Zone,2026,8,106.3,193.0,1.41,0.073,1.78,0.87,2,26.5,225.2,2.42,0.0,0.083
80,RAM NAGAR,City S.P.Zone,2026,9,78.7,193.0,1.41,0.073,1.78,0.87,2,26.5,225.2,2.42,0.0,0.083
80,RAM NAGAR,City S.P.Zone,2026,10,129.3,193.0,1.41,0.073,1.78,0.87,2,26.5,225.2,2.42,0.0,0.083
80,RAM NAGAR,City S.P.Zone,2026,11,8.5,0.0,1.41,0.073,1.78,0.87,2,26.5,225.2,2.42,0.0,0.083
80,RAM NAGAR,City S.P.Zone,2026,12,16.8,0.0,1.41,0.073,1.78,0.87,2,26.5,225.2,2.42,0.0,0.083
81,QURAISH NAGAR,City S.P.Zone,2026,1,30.0,0.0,3.52,0.081,0.66,0.58,1,39.3,239.0,4.67,0.0,0.071
81,QURAISH NAGAR,City S.P.Zone,2026,2,34.1,0.0,3.52,0.081,0.66,0.58,1,39.3,239.0,4.67,0.0,0.071
81,QURAISH NAGAR,City S.P.Zone,2026,3,17.4,0.0,3.52,0.081,0.66,0.58,1,39.3,239.0,4.67,0.0,0.071
81,QURAISH NAGAR,City S.P.Zone,2026,4,14.9,0.0,3.52,0.081,0.66,0.58,1,39.3,239.0,4.67,0.0,0.071
81,QURAISH NAGAR,City S.P.Zone,2026,5,34.4,0.0,3.52,0.081,0.66,0.58,1,39.3,239.0,4.67,0.0,0.071
81,QURAISH NAGAR,City S.P.Zone,2026,6,6.8,0.0,3.52,0.081,0.66,0.58,1,39.3,239.0,4.67,0.0,0.071
81,QURAISH NAGAR,City S.P.Zone,2026,7,117.4,141.4,3.52,0.081,0.66,0.58,1,39.3,239.0,4.67,0.0,0.071
81,QURAISH NAGAR,City S.P.Zone,2026,8,112.9,141.4,3.52,0.081,0.66,0.58,1,39.3,239.0,4.67,0.0,0.071
81,QURAISH NAGAR,City S.P.Zone,2026,9,98.4,141.4,3.52,0.081,0.66,0.58,1,39.3,239.0,4.67,0.0,0.071
81,QURAISH NAGAR,City S.P.Zone,2026,10,205.0,141.4,3.52,0.081,0.66,0.58,1,39.3,239.0,4.67,0.0,0.071
81,QURAISH NAGAR,City S.P.Zone,2026,11,31.3,0.0,3.52,0.081,0.66,0.58,1,39.3,239.0,4.67,0.0,0.071
81,QURAISH NAGAR,City S.P.Zone,2026,12,7.2,0.0,3.52,0.081,0.66,0.58,1,39.3,239.0,4.67,0.0,0.071
82,PAHAR GANJ,Karolbagh,2026,1,16.6,0.0,2.64,0.137,0.76,0.62,4,80.1,219.8,14.37,0.0,0.124
82,PAHAR GANJ,Karolbagh,2026,2,27.2,0.0,2.64,0.137,0.76,0.62,4,80.1,219.8,14.37,0.0,0.124
82,PAHAR GANJ,Karolbagh,2026,3,36.2,0.0,2.64,0.137,0.76,0.62,4,80.1,219.8,14.37,0.0,0.124
82,PAHAR GANJ,Karolbagh,2026,4,17.0,0.0,2.64,0.137,0.76,0.62,4,80.1,219.8,14.37,0.0,0.124
82,PAHAR GANJ,Karolbagh,2026,5,21.3,0.0,2.64,0.137,0.76,0.62,4,80.1,219.8,14.37,0.0,0.124
82,PAHAR GANJ,Karolbagh,2026,6,36.4,0.0,2.64,0.137,0.76,0.62,4,80.1,219.8,14.37,0.0,0.124
82,PAHAR GANJ,Karolbagh,2026,7,96.3,242.1,2.64,0.137,0.76,0.62,4,80.1,219.8,14.37,0.0,0.124
82,PAHAR GANJ,Karolbagh,2026,8,205.6,242.1,2.64,0.137,0.76,0.62,4,80.1,219.8,14.37,0.0,0.124
82,PAHAR GANJ,Karolbagh,2026,9,190.8,242.1,2.64,0.137,0.76,0.62,4,80.1,219.8,14.37,0.0,0.124
82,PAHAR GANJ,Karolbagh,2026,10,216.7,242.1,2.64,0.137,0.76,0.62,4,80.1,219.8,14.37,0.0,0.124
82,PAHAR GANJ,Karolbagh,2026,11,16.3,0.0,2.64,0.137,0.76,0.62,4,80.1,219.8,14.37,0.0,0.124
82,PAHAR GANJ,Karolbagh,2026,12,13.3,0.0,2.64,0.137,0.76,0.62,4,80.1,219.8,14.37,0.0,0.124
83,KAROL BAGH,Karolbagh,2026,1,18.9,0.0,2.09,0.063,1.22,0.87,4,90.4,224.8,22.05,0.0,0.013
83,KAROL BAGH,Karolbagh,2026,2,8.3,0.0,2.09,0.063,1.22,0.87,4,90.4,224.8,22.05,0.0,0.013
83,KAROL BAGH,Karolbagh,2026,3,25.4,0.0,2.09,0.063,1.22,0.87,4,90.4,224.8,22.05,0.0,0.013
83,KAROL BAGH,Karolbagh,2026,4,6.8,0.0,2.09,0.063,1.22,0.87,4,90.4,224.8,22.05,0.0,0.013
83,KAROL BAGH,Karolbagh,2026,5,16.8,0.0,2.09,0.063,1.22,0.87,4,90.4,224.8,22.05,0.0,0.013
83,KAROL BAGH,Karolbagh,2026,6,31.4,0.0,2.09,0.063,1.22,0.87,4,90.4,224.8,22.05,0.0,0.013
83,KAROL BAGH,Karolbagh,2026,7,100.0,130.1,2.09,0.063,1.22,0.87,4,90.4,224.8,22.05,0.0,0.013
83,KAROL BAGH,Karolbagh,2026,8,179.8,130.1,2.09,0.063,1.22,0.87,4,90.4,224.8,22.05,0.0,0.013
83,KAROL BAGH,Karolbagh,2026,9,176.7,130.1,2.09,0.063,1.22,0.87,4,90.4,224.8,22.05,0.0,0.013
83,KAROL BAGH,Karolbagh,2026,10,91.8,130.1,2.09,0.063,1.22,0.87,4,90.4,224.8,22.05,0.0,0.013
83,KAROL BAGH,Karolbagh,2026,11,30.5,0.0,2.09,0.063,1.22,0.87,4,90.4,224.8,22.05,0.0,0.013
83,KAROL BAGH,Karolbagh,2026,12,31.2,0.0,2.09,0.063,1.22,0.87,4,90.4,224.8,22.05,0.0,0.013
84,DEV NAGAR,Karolbagh,2026,1,28.0,0.0,2.85,0.088,1.86,0.43,3,101.0,214.2,18.36,0.2,0.077
84,DEV NAGAR,Karolbagh,2026,2,37.7,0.0,2.85,0.088,1.86,0.43,3,101.0,214.2,18.36,0.2,0.077
84,DEV NAGAR,Karolbagh,2026,3,11.8,0.0,2.85,0.088,1.86,0.43,3,101.0,214.2,18.36,0.2,0.077
84,DEV NAGAR,Karolbagh,2026,4,31.8,0.0,2.85,0.088,1.86,0.43,3,101.0,214.2,18.36,0.2,0.077
84,DEV NAGAR,Karolbagh,2026,5,5.8,0.0,2.85,0.088,1.86,0.43,3,101.0,214.2,18.36,0.2,0.077
84,DEV NAGAR,Karolbagh,2026,6,18.1,0.0,2.85,0.088,1.86,0.43,3,101.0,214.2,18.36,0.2,0.077
84,DEV NAGAR,Karolbagh,2026,7,68.8,205.6,2.85,0.088,1.86,0.43,3,101.0,214.2,18.36,0.2,0.077
84,DEV NAGAR,Karolbagh,2026,8,109.9,205.6,2.85,0.088,1.86,0.43,3,101.0,214.2,18.36,0.2,0.077
84,DEV NAGAR,Karolbagh,2026,9,79.5,205.6,2.85,0.088,1.86,0.43,3,101.0,214.2,18.36,0.2,0.077
84,DEV NAGAR,Karolbagh,2026,10,113.5,205.6,2.85,0.088,1.86,0.43,3,101.0,214.2,18.36,0.2,0.077
84,DEV NAGAR,Karolbagh,2026,11,19.6,0.0,2.85,0.088,1.86,0.43,3,101.0,214.2,18.36,0.2,0.077
84,DEV NAGAR,Karolbagh,2026,12,15.5,0.0,2.85,0.088,1.86,0.43,3,101.0,214.2,18.36,0.2,0.077
85,WEST PATEL NAGAR,Karolbagh,2026,1,9.1,0.0,1.67,0.072,0.55,0.85,2,24.7,235.1,29.18,0.5,0.081
85,WEST PATEL NAGAR,Karolbagh,2026,2,27.1,0.0,1.67,0.072,0.55,0.85,2,24.7,235.1,29.18,0.5,0.081
85,WEST PATEL NAGAR,Karolbagh,2026,3,6.8,0.0,1.67,0.072,0.55,0.85,2,24.7,235.1,29.18,0.5,0.081
85,WEST PATEL NAGAR,Karolbagh,2026,4,15.3,0.0,1.67,0.072,0.55,0.85,2,24.7,235.1,29.18,0.5,0.081
85,WEST PATEL NAGAR,Karolbagh,2026,5,37.2,0.0,1.67,0.072,0.55,0.85,2,24.7,235.1,29.18,0.5,0.081
85,WEST PATEL NAGAR,Karolbagh,2026,6,11.0,0.0,1.67,0.072,0.55,0.85,2,24.7,235.1,29.18,0.5,0.081
85,WEST PATEL NAGAR,Karolbagh,2026,7,61.1,142.5,1.67,0.072,0.55,0.85,2,24.7,235.1,29.18,0.5,0.081
85,WEST PATEL NAGAR,Karolbagh,2026,8,125.4,142.5,1.67,0.072,0.55,0.85,2,24.7,235.1,29.18,0.5,0.081
85,WEST PATEL NAGAR,Karolbagh,2026,9,194.6,142.5,1.67,0.072,0.55,0.85,2,24.7,235.1,29.18,0.5,0.081
85,WEST PATEL NAGAR,Karolbagh,2026,10,63.0,142.5,1.67,0.072,0.55,0.85,2,24.7,235.1,29.18,0.5,0.081
85,WEST PATEL NAGAR,Karolbagh,2026,11,17.4,0.0,1.67,0.072,0.55,0.85,2,24.7,235.1,29.18,0.5,0.081
85,WEST PATEL NAGAR,Karolbagh,2026,12,36.5,0.0,1.67,0.072,0.55,0.85,2,24.7,235.1,29.18,0.5,0.081
86,EAST PATEL NAGAR,Karolbagh,2026,1,21.5,0.0,3.46,0.121,1.18,0.49,3,147.6,237.1,5.93,0.0,0.148
86,EAST PATEL NAGAR,Karolbagh,2026,2,34.7,0.0,3.46,0.121,1.18,0.49,3,147.6,237.1,5.93,0.0,0.148
86,EAST PATEL NAGAR,Karolbagh,2026,3,18.2,0.0,3.46,0.121,1.18,0.49,3,147.6,237.1,5.93,0.0,0.148
